riskscore,pred_agelastarrest,pred_shootingvic_num,pred_assaultvic_num,pred_violetoffense_num,pred_crimacttrend_num,pred_uuwarrests_num,sex,race,weaponarrest_yn,drugarrest_yn,agegrp,ageto,stoporderno,paroleestatus_yn,lastarrest_date,distlastarrest,majoritydist,dlst,distlastresidence,weaponsarrest_num,lastweaparrest_date,narcoticssarrest_num,lastnarcarrest_date,cityresidence_idoc,stateresidence_idoc,zipresidence_idoc,idoccpddist,arrestbycpd_yn,domassaultarrest_num,lastdomassaultarrest_date,currentage,lastpartytoviolence_date,trapstatus,statusi,trapflags,cvrm_flags,latitude,longitude,censustract,commarea,location,dayslastarrest_num_et,notincookcounty_et,livewherearrested_et,shootingvictim_et,assaultvictim_et,predsumwotrend_et,lastarrestpolarea_id_et,agecatchange_et,urban_yn,random,insample
LOW,20 to 29,0,0,0,-.30000001,0,F,WWH,0,0,20 to 29,20 to 29,,,5/19/15,31,,,31,,,,,,,,,0,,,20 to 29,,,Y,,,,,,,,1822,1,1,0,0,0,,1,Rural/County,.0012408975,1
VERY LOW,50 to 59,0,0,0,.30000001,0,M,WHI,0,0,50 to 59,50 to 59,,,10/15/17,31,,,31,,,,,,,,,0,,,50 to 59,,,Y,,,,,,,,942,,1,0,0,0,,1,Rural/County,.0012522256,1
LOW,20 to 29,0,0,0,.1,0,M,BLK,0,0,20 to 29,20 to 29,,,1/15/17,31,,,31,,,,,,,,,0,,,20 to 29,,,Y,,,,,,,,1215,,1,0,0,0,,1,Rural/County,.0012534525,1
VERY LOW,40 to 49,0,0,1,-.40000001,1,M,API,0,0,40 to 49,40 to 49,,,7/14/17,9,9,,9,,,,,,,,,1,,,50 to 59,,,Y,,,,,,,,1035,,1,0,0,2,1,0,Chicago City,.0012588354,1
VERY LOW,40 to 49,0,0,0,-.1,0,F,BLK,0,0,40 to 49,40 to 49,,,6/11/16,31,,,25,,,,,,,,,0,,,50 to 59,,,Y,,,,,,,,1433,,0,0,0,0,,0,Chicago City,.0012657129,1
VERY LOW,30 to 39,0,0,0,-.5,0,M,BLK,0,0,30 to 39,30 to 39,,,4/9/17,31,,,31,,,,,,,,,0,,,30 to 39,,,Y,,,,,,,,1131,,1,0,0,0,,1,Rural/County,.0012661981,1
MODERATE,less than 20,0,1,1,.40000001,0,F,WWH,0,0,less than 20,less than 20,,,8/10/17,18,18,,25,,,,,,,,,1,,,less than 20,,,Y,,,,,,,,1008,,0,0,1,2,1,1,Chicago City,.0012720691,1
LOW,30 to 39,1,1,0,-1.1,0,M,WWH,0,1,30 to 39,30 to 39,,1,9/30/18,10,10,,10,,,1,4/4/15 18:25,CHICAGO,IL,60608,,1,,,30 to 39,12/11/15 2:42,,Y,,,,,,,,592,,1,1,1,2,1,1,Chicago City,.001273273,1
VERY LOW,40 to 49,0,0,0,.1,0,M,WHI,0,0,40 to 49,40 to 49,,,7/3/17,10,10,,31,,,,,,,,,1,,,40 to 49,,,Y,,,,,,,,1046,,0,0,0,0,1,1,Rural/County,.0012735648,1
MODERATE,less than 20,0,0,0,.1,0,F,WWH,0,0,less than 20,less than 20,,,8/12/16,8,8,,20,,,,,,,,,1,,,20 to 29,,,Y,,,,,,,,1371,,0,0,0,0,1,0,Chicago City,.001274728,1
LOW,20 to 29,0,0,0,.1,0,M,U,0,0,20 to 29,20 to 29,,,12/19/16,31,,,31,,,,,,,,,0,,,20 to 29,,,Y,,,,,,,,1242,1,1,0,0,0,,1,Rural/County,.0012769332,1
VERY LOW,20 to 29,0,0,0,-.30000001,0,M,BLK,0,0,20 to 29,20 to 29,,,4/8/15,31,,,31,,,,,,,,,0,,,30 to 39,,,Y,,,,,,,,1863,,1,0,0,0,,0,Rural/County,.0012802124,1
VERY LOW,40 to 49,0,0,0,-.2,0,M,WWH,0,0,40 to 49,40 to 49,,,9/10/18,2,2,,9,,,,,CHICAGO,IL,60623,9,1,,,40 to 49,,,Y,,,,,,,,612,,0,0,0,0,1,1,Chicago City,.001285431,1
VERY LOW,40 to 49,0,0,0,-.2,0,M,WWH,0,0,40 to 49,40 to 49,,,9/18/15,31,9,,9,,,,,,,,,0,,,50 to 59,,,Y,,,,,,,,1700,,0,0,0,0,,0,Chicago City,.0012857179,1
VERY LOW,20 to 29,0,0,0,-.1,0,M,BLK,0,1,20 to 29,20 to 29,,,9/26/18,8,8,,8,,,1,5/11/16 21:42,,,,,1,,,20 to 29,,,Y,,,,,,,,596,,1,0,0,0,1,1,Chicago City,.0012895569,1
LOW,20 to 29,0,0,0,-.30000001,0,F,BLK,0,0,20 to 29,20 to 29,,,2/25/15,9,9,,8,,,,,,,,,1,,,20 to 29,,,Y,,,,,,,,1905,,0,0,0,0,1,1,Chicago City,.0012907144,1
VERY LOW,30 to 39,0,0,0,.5,0,M,WHI,0,1,30 to 39,30 to 39,,,7/29/17,31,10,,31,,,2,7/29/17 0:29,,,,,0,,,30 to 39,,,Y,,,,,,,,1020,1,1,0,0,0,,1,Rural/County,.0013024659,1
LOW,20 to 29,0,0,0,0,0,F,WHI,0,0,20 to 29,20 to 29,,,12/4/16,31,,,31,,,,,,,,,0,,,20 to 29,,,Y,,,,,,,,1257,1,1,0,0,0,,1,Rural/County,.001302938,1
VERY LOW,30 to 39,0,0,0,-.30000001,0,F,BLK,0,0,30 to 39,30 to 39,,,12/2/14,31,,,31,,,,,,,,,0,,,30 to 39,,,Y,,,,,,,,1990,,1,0,0,0,,1,Rural/County,.0013030006,1
LOW,20 to 29,0,0,0,-.1,0,M,WHI,0,0,20 to 29,20 to 29,,,5/23/16,31,,,31,,,,,,,,,0,,,20 to 29,,,Y,,,,,,,,1452,,1,0,0,0,,1,Rural/County,.0013093157,1
LOW,20 to 29,0,0,0,-.1,0,M,BLK,0,0,20 to 29,20 to 29,,,7/6/16,12,12,,31,,,,,,,,,1,,,20 to 29,,,Y,,,,,,,,1408,,0,0,0,0,1,1,Rural/County,.0013103571,1
LOW,less than 20,0,0,0,-.30000001,0,M,BLK,0,0,less than 20,less than 20,,,3/19/15,18,18,,18,,,,,,,,,1,,,less than 20,,,Y,,,,,,,,1883,,1,0,0,0,1,1,Chicago City,.0013125072,1
VERY LOW,30 to 39,0,0,0,-.30000001,0,M,WWH,0,0,30 to 39,30 to 39,,,7/2/15,10,10,,10,,,,,,,,,1,,,30 to 39,,,Y,,,,,,,,1778,,1,0,0,0,1,1,Chicago City,.001315878,1
VERY LOW,30 to 39,0,0,0,.1,0,M,BLK,0,0,30 to 39,30 to 39,,,8/14/16,31,,,31,,,,,,,,,0,,,40 to 49,,,Y,,,,,,,,1369,1,1,0,0,0,,0,Rural/County,.0013183533,1
VERY LOW,40 to 49,0,0,0,.2,0,F,BLK,0,0,40 to 49,40 to 49,,,4/1/18,5,5,IL,5,,,,,,,,,1,1,10/1/09 18:36,30 to 39,,,Y,,,,,,,,774,,1,0,0,0,2,0,Chicago City,.0013246116,1
VERY LOW,30 to 39,0,0,0,1.5,0,M,WHI,0,0,30 to 39,30 to 39,,,4/6/18,19,19,,19,,,,,,,,,1,,,30 to 39,,,Y,,,,,,,,769,,1,0,0,0,3,1,Chicago City,.0013251059,1
